Product Title,Brand,Type,Variant Name,Color HEX,Color RGB,Season 1 Name,Season 1 Percent,S1 Closest Color,Season 2 Name,Season 2 Percent,S2 Closest Color,Tone,Cluster,Image URL,Product URL
Colorfit Last All Day Lip Paint Around the World,wardah,lip,Alluring Jakarta,#f1d1ae,"(241, 209, 174)",autumn soft,57.8614067950576,"[222.0, 193.0, 182.0]",spring light,42.1385932049424,"[255.0, 241.0, 166.0]",fair_light,Cluster 1,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647485272.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Last All Day Lip Paint Around the World,wardah,lip,Dubai Lux,#bb8976,"(187, 137, 118)",summer soft,65.09855732681686,"[197.0, 121.0, 125.0]",autumn warm,34.90144267318313,"[217.0, 159.0, 113.0]",medium_tan,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647485272.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Last All Day Lip Paint Around the World,wardah,lip,Royal London,#d18b8e,"(209, 139, 142)",autumn soft,55.79938697048563,"[224.0, 134.0, 127.0]",summer soft,44.20061302951437,"[197.0, 121.0, 125.0]",medium_tan,Cluster 2,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647485272.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Last All Day Lip Paint Around the World,wardah,lip,Dazzling New York,#a1605a,"(161, 96, 90)",summer light,59.44156456363127,"[164.0, 104.0, 114.0]",summer soft,40.55843543636873,"[177.0, 89.0, 123.0]",dark_deep,Cluster 6,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647485272.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Last All Day Lip Paint Around the World,wardah,lip,Kuala Lumpur Joy,#b2533e,"(178, 83, 62)",autumn soft,72.13270489282532,"[167.0, 85.0, 47.0]",summer cool ,27.86729510717468,"[208.0, 49.0, 79.0]",dark_deep,Cluster 6,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647485272.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Last All Day Lip Paint Around the World,wardah,lip,Tokyo Breeze,#7f322f,"(127, 50, 47)",autumn warm,60.5190427416069,"[133.0, 67.0, 35.0]",autumn warm,39.48095725839311,"[156.0, 35.0, 53.0]",dark_deep,Cluster 10,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647485272.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion,wardah,face,11C Pink Fair,#F3C4BF,"(243, 196, 191)",autumn soft,54.15587238848241,"[222.0, 193.0, 182.0]",spring light,45.84412761151759,"[253.0, 171.0, 187.0]",fair_light,Cluster 1,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647332933.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion,wardah,face,23W Warm Ivory,#ECBA93,"(236, 186, 147)",spring light,59.21651388312546,"[255.0, 176.0, 146.0]",spring clear,40.78348611687453,"[253.0, 167.0, 165.0]",medium_tan,Cluster 2,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647332933.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion,wardah,face,32N Neutral Beige,#D5A286,"(213, 162, 134)",autumn warm,58.86140833933177,"[217.0, 159.0, 113.0]",autumn soft,41.13859166066821,"[224.0, 134.0, 127.0]",medium_tan,Cluster 3,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647332933.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion,wardah,face,33W Olive Beige,#DFA880,"(223, 168, 128)",autumn warm,64.78996174881009,"[217.0, 159.0, 113.0]",autumn soft,35.21003825118992,"[224.0, 134.0, 127.0]",medium_tan,Cluster 3,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647332933.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion,wardah,face,42N Neutral Sand,#D8A380,"(216, 163, 128)",autumn warm,65.92717976153,"[217.0, 159.0, 113.0]",autumn soft,34.07282023847,"[224.0, 134.0, 127.0]",medium_tan,Cluster 3,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647332933.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion,wardah,face,43W Golden Sand,#DD9767,"(221, 151, 103)",autumn warm,68.7844592010199,"[217.0, 159.0, 113.0]",autumn soft,31.21554079898009,"[224.0, 134.0, 127.0]",medium_tan,Cluster 3,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647332933.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion,wardah,face,52N Almond,#A6631B,"(166, 99, 27)",autumn soft,56.61960374582229,"[167.0, 85.0, 47.0]",spring warm,43.38039625417773,"[144.0, 76.0, 25.0]",dark_deep,Cluster 5,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647332933.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion,wardah,face,22N Light Ivory,#F0BF9B,"(240, 191, 155)",spring light,55.78121100146844,"[255.0, 176.0, 146.0]",spring clear,44.21878899853154,"[253.0, 167.0, 165.0]",fair_light,Cluster 2,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1647332933.png,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Everyday! Matte Lip Shot,wardah,lip,#fyp,#9D2235,"(157, 34, 53)",autumn warm,95.93334793444268,"[156.0, 35.0, 53.0]",summer cool ,4.066652065557308,"[152.0, 42.0, 85.0]",dark_deep,Cluster 9,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1645442978.webp,https://www.wardahbeauty.com/id/product/make-up/everyday-matte-lip-shot?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Everyday! Matte Lip Shot,wardah,lip,#throwback,#D25B73,"(210, 91, 115)",autumn warm,50.54090214649656,"[218.0, 103.0, 85.0]",summer soft,49.45909785350343,"[177.0, 89.0, 123.0]",medium_tan,Cluster 3,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1645442978.webp,https://www.wardahbeauty.com/id/product/make-up/everyday-matte-lip-shot?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Everyday! Matte Lip Shot,wardah,lip,#nowplaying,#D6938A,"(214, 147, 138)",autumn soft,58.54749260600776,"[224.0, 134.0, 127.0]",autumn warm,41.45250739399224,"[217.0, 159.0, 113.0]",medium_tan,Cluster 2,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1645442978.webp,https://www.wardahbeauty.com/id/product/make-up/everyday-matte-lip-shot?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Everyday! Matte Lip Shot,wardah,lip,#ootd,#C26E60,"(194, 110, 96)",autumn warm,53.29024922240975,"[218.0, 103.0, 85.0]",summer soft,46.70975077759025,"[197.0, 121.0, 125.0]",dark_deep,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1645442978.webp,https://www.wardahbeauty.com/id/product/make-up/everyday-matte-lip-shot?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
