Product Title,Variant Name,Color HEX,Product URL
Matte Lip Cream | Wardah Indonesia,Red-dicted	,#a92431,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Colorfit Fresh Lip Ink Serum | Wardah Indonesia,Busy Bee,#823B34,https://www.wardahbeauty.com/id/product/make-up/colorfit-fresh-lip-ink-serum?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Fresh Lip Ink Serum | Wardah Indonesia,Go Getter,#9D2235,https://www.wardahbeauty.com/id/product/make-up/colorfit-fresh-lip-ink-serum?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Lightening Powder Foundation Extra Cover | Wardah Indonesia,Light Beige	,#f8ddc0,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-lightening-powder-foundation-extra-cover?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Lightening Powder Foundation Extra Cover | Wardah Indonesia,Golden Beige,#fcd7c8,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-lightening-powder-foundation-extra-cover?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Lightening Powder Foundation Extra Cover | Wardah Indonesia,Sheer Pink,#f8e3e4,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-lightening-powder-foundation-extra-cover?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Lightening Powder Foundation Extra Cover | Wardah Indonesia,Natural,#f3d4c1,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-lightening-powder-foundation-extra-cover?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill BB Cake Powder | Wardah Indonesia,Light,#f9e4d3,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-bb-cake-powder?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill BB Cake Powder | Wardah Indonesia,Sheer Pink,#f7d9c9,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-bb-cake-powder?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill BB Cake Powder | Wardah Indonesia,Natural,#fad4bc,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-bb-cake-powder?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Lightening Powder Foundation | Wardah Indonesia,Light Feel,#f8ddc0,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-lightening-powder-foundation?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Lightening Powder Foundation | Wardah Indonesia,Golden Beige,#fcd7c8,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-lightening-powder-foundation?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Lightening Powder Foundation | Wardah Indonesia,She\,#f8e3e4,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-lightening-powder-foundation?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
